央视,#genre#
CCTV-1综合,http://27.10.130.31:8004/rtp/225.0.4.74:7980
CCTV-2财经,http://27.10.130.31:8004/rtp/225.0.4.132:7980
CCTV-3综艺,http://27.10.130.31:8004/rtp/225.0.4.142:7980
CCTV-4中文国际,http://27.10.130.31:8004/rtp/225.0.4.176:7980
CCTV-5体育,http://27.10.130.31:8004/rtp/225.0.4.143:7980
CCTV-5+体育赛事,http://27.10.130.31:8004/rtp/225.0.4.73:7980
CCTV-6电影,http://27.10.130.31:8004/rtp/225.0.4.144:7980
CCTV-7国防军事,http://27.10.130.31:8004/rtp/225.0.4.127:7980
CCTV-8电视剧,http://27.10.130.31:8004/rtp/225.0.4.137:7980
CCTV-9纪录,http://27.10.130.31:8004/rtp/225.0.4.131:7980
CCTV-10科教,http://27.10.130.31:8004/rtp/225.0.4.130:7980
CCTV-11戏曲,http://27.10.130.31:8004/rtp/225.0.4.218:7980
CCTV-12社会与法,http://27.10.130.31:8004/rtp/225.0.4.129:7980
CCTV-13新闻,http://27.10.130.31:8004/rtp/225.0.4.219:7980
CCTV-14少儿,http://27.10.130.31:8004/rtp/225.0.4.128:7980
CCTV-15音乐,http://27.10.130.31:8004/rtp/225.0.4.220:7980
CCTV-17农业农村,http://27.10.130.31:8004/rtp/225.0.4.179:7980
卫视,#genre#
湖南卫视,http://27.10.130.31:8004/rtp/225.0.4.75:7980
北京卫视,http://27.10.130.31:8004/rtp/225.0.4.78:7980
江苏卫视,http://27.10.130.31:8004/rtp/225.0.4.79:7980
东方卫视,http://27.10.130.31:8004/rtp/225.0.4.80:7980
浙江卫视,http://27.10.130.31:8004/rtp/225.0.4.81:7980
天津卫视,http://27.10.130.31:8004/rtp/225.0.4.82:7980
广东卫视,http://27.10.130.31:8004/rtp/225.0.4.84:7980
辽宁卫视,http://27.10.130.31:8004/rtp/225.0.4.98:7980
安徽卫视,http://27.10.130.31:8004/rtp/225.0.4.133:7980
河北卫视,http://27.10.130.31:8004/rtp/225.0.4.174:7980
贵州卫视,http://27.10.130.31:8004/rtp/225.0.4.175:7980
重庆卫视,http://27.10.130.31:8004/rtp/225.0.4.187:7980
山东卫视,http://27.10.130.31:8004/rtp/225.0.4.199:7980
东南卫视,http://27.10.130.31:8004/rtp/225.0.4.200:7980
黑龙江卫视,http://27.10.130.31:8004/rtp/225.0.4.201:7980
深圳卫视,http://27.10.130.31:8004/rtp/225.0.4.202:7980
江西卫视,http://27.10.130.31:8004/rtp/225.0.4.203:7980
四川卫视,http://27.10.130.31:8004/rtp/225.0.4.204:7980
