央视,#genre#
CCTV-1综合,http://cfss.cc/ds/ysp/qp.php?id=cctv1&Cf.m3u8
CCTV-2财经,http://cfss.cc/ds/ysp/qp.php?id=cctv2&Cf.m3u8
CCTV-3综艺,http://cfss.cc/ds/ysp/qp.php?id=cctv3&Cf.m3u8
CCTV-4中文国际,http://cfss.cc/ds/ysp/qp.php?id=cctv4&Cf.m3u8
CCTV-5体育,http://cfss.cc/ds/ysp/qp.php?id=cctv5&Cf.m3u8
CCTV-5+体育赛事,http://cfss.cc/ds/ysp/qp.php?id=cctv5p&Cf.m3u8
CCTV-6电影,http://cfss.cc/ds/ysp/qp.php?id=cctv6&Cf.m3u8
CCTV-7国防军事,http://cfss.cc/ds/ysp/qp.php?id=cctv7&Cf.m3u8
CCTV-8电视剧,http://cfss.cc/ds/ysp/qp.php?id=cctv8&Cf.m3u8
CCTV-9纪录,http://cfss.cc/ds/ysp/qp.php?id=cctv9&Cf.m3u8
CCTV-10科教,http://cfss.cc/ds/ysp/qp.php?id=cctv10&Cf.m3u8
CCTV-11戏曲,http://cfss.cc/ds/ysp/qp.php?id=cctv11&Cf.m3u8
CCTV-12社会与法,http://cfss.cc/ds/ysp/qp.php?id=cctv12&Cf.m3u8
CCTV-13新闻,http://cfss.cc/ds/ysp/qp.php?id=cctv13&Cf.m3u8
CCTV-14少儿,http://cfss.cc/ds/ysp/qp.php?id=cctv14&Cf.m3u8
CCTV-15音乐,http://cfss.cc/ds/ysp/qp.php?id=cctv15&Cf.m3u8
CCTV-16奥林匹克,http://cfss.cc/ds/ysp/qp.php?id=cctv16&Cf.m3u8
CCTV-17农业农村,http://cfss.cc/ds/ysp/qp.php?id=cctv17&Cf.m3u8
CCTV兵器科技,http://cfss.cc/ds/ysp/qp.php?id=bqkj&Cf.m3u8
CCTV第一剧场,http://cfss.cc/ds/ysp/qp.php?id=dyjc&Cf.m3u8
CCTV怀旧剧场,http://cfss.cc/ds/ysp/qp.php?id=hjjc&Cf.m3u8
CCTV风云剧场,http://cfss.cc/ds/ysp/qp.php?id=fyjc&Cf.m3u8
CCTV风云音乐,http://cfss.cc/ds/ysp/qp.php?id=fyyy&Cf.m3u8
CCTV风云足球,http://cfss.cc/ds/ysp/qp.php?id=fyzq&Cf.m3u8
CCTV电视指南,http://cfss.cc/ds/ysp/qp.php?id=dszn&Cf.m3u8
CCTV女性时尚,http://cfss.cc/ds/ysp/qp.php?id=nxss&Cf.m3u8
CCTV央视文化精品,http://cfss.cc/ds/ysp/qp.php?id=whjp&Cf.m3u8
CCTV世界地理,http://cfss.cc/ds/ysp/qp.php?id=sjdl&Cf.m3u8
CCTV央视台球,http://cfss.cc/ds/ysp/qp.php?id=ystq&Cf.m3u8
CCTV卫生健康,http://cfss.cc/ds/ysp/qp.php?id=wsjk&Cf.m3u8
CCTV高尔夫网球,http://cfss.cc/ds/ysp/qp.php?id=gefwq&Cf.m3u8
卫视,#genre#
安徽卫视,http://cfss.cc/ds/ysp/qp.php?id=ahwsq&Cf.m3u8
北京卫视,http://cfss.cc/ds/ysp/qp.php?id=bjws&Cf.m3u8
重庆卫视,http://cfss.cc/ds/ysp/qp.php?id=cqws&Cf.m3u8
东方卫视,http://cfss.cc/ds/ysp/qp.php?id=dfws&Cf.m3u8
东南卫视,http://cfss.cc/ds/ysp/qp.php?id=dnws&Cf.m3u8
广东卫视,http://cfss.cc/ds/ysp/qp.php?id=gdws&Cf.m3u8
广西卫视,http://cfss.cc/ds/ysp/qp.php?id=gxws&Cf.m3u8
贵州卫视,http://cfss.cc/ds/ysp/qp.php?id=gzws&Cf.m3u8
海南卫视,http://cfss.cc/ds/ysp/qp.php?id=hinws&Cf.m3u8
河南卫视,http://cfss.cc/ds/ysp/qp.php?id=hnws&Cf.m3u8
河北卫视,http://cfss.cc/ds/ysp/qp.php?id=hbws&Cf.m3u8
黑龙江卫视,http://cfss.cc/ds/ysp/qp.php?id=hljws&Cf.m3u8
湖北卫视,http://cfss.cc/ds/ysp/qp.php?id=fbws&Cf.m3u8
湖南卫视,http://cfss.cc/ds/ysp/qp.php?id=fnws&Cf.m3u8
江苏卫视,http://cfss.cc/ds/ysp/qp.php?id=jsws&Cf.m3u8
江西卫视,http://cfss.cc/ds/ysp/qp.php?id=jxws&Cf.m3u8
辽宁卫视,http://cfss.cc/ds/ysp/qp.php?id=lnws&Cf.m3u8
山东卫视,http://cfss.cc/ds/ysp/qp.php?id=sdws&Cf.m3u8
深圳卫视,http://cfss.cc/ds/ysp/qp.php?id=szws&Cf.m3u8
四川卫视,http://cfss.cc/ds/ysp/qp.php?id=scws&Cf.m3u8
天津卫视,http://cfss.cc/ds/ysp/qp.php?id=tjws&Cf.m3u8
新疆卫视,http://cfss.cc/ds/ysp/qp.php?id=xjws&Cf.m3u8
浙江卫视,http://cfss.cc/ds/ysp/qp.php?id=zjws&Cf.m3u8
